"curso","n","zeros","prop_zero","AIC_ZIUBXII","AIC_BETA","AIC_KUMA","BIC_ZIUBXII","BIC_BETA","BIC_KUMA","conv_ZIUBXII","conv_BETA","conv_KUMA","vencedor_AIC","vencedor_BIC"
"BIBLIOTECONOMIA",28,4,0.143,1724.94,-41.449,-40.514,1728.936,-37.452,-36.517,TRUE,TRUE,TRUE,"BETA","BETA"
"ENGENHARIA DE PRODUÇÃO MECÂNICA",26,6,0.231,17.21,15.441,15.346,20.984,19.216,19.121,TRUE,TRUE,TRUE,"KUMA","KUMA"
"PRODUÇÃO MULTIMÍDIA",17,4,0.235,6.976,4.766,4.791,9.475,7.265,7.291,TRUE,TRUE,TRUE,"BETA","BETA"
"MODA",24,5,0.208,0.42,4.613,-4.893,3.954,8.147,-1.359,TRUE,TRUE,TRUE,"KUMA","KUMA"
"AGROECOLOGIA",28,3,0.107,-6.601,-8.526,-8.937,-2.605,-4.53,-4.941,TRUE,TRUE,TRUE,"KUMA","KUMA"
"BIOLOGIA",25,7,0.28,761807561.191,10.548,0.224,761807564.847,14.204,3.88,FALSE,TRUE,TRUE,"KUMA","KUMA"
"BIOTECNOLOGIA",26,5,0.192,19208166.647,-26.224,-26.13,19208170.421,-22.449,-22.356,FALSE,TRUE,TRUE,"BETA","BETA"
"GESTÃO DE SEGURANÇA PRIVADA",17,3,0.176,10.317,8.6,8.587,12.817,11.099,11.087,TRUE,TRUE,TRUE,"KUMA","KUMA"
"SEGURANÇA NO TRABALHO",13,2,0.154,339030.982,5.679,2.434,339032.677,7.374,4.129,FALSE,TRUE,TRUE,"KUMA","KUMA"
"CONSTRUÇÃO DE EDIFÍCIOS",17,2,0.118,NA,-2.521,-14.375,NA,-0.022,-11.875,FALSE,TRUE,TRUE,"KUMA","KUMA"
"ENGENHARIA DE MINAS",17,3,0.176,11.115,6.444,6.466,13.615,8.943,8.966,TRUE,TRUE,TRUE,"BETA","BETA"
"ENGENHARIA DE PESCA",23,7,0.304,206843521460685,11.61,-4.968,206843521460689,15.016,-1.561,TRUE,TRUE,TRUE,"KUMA","KUMA"
"SECRETARIADO EXECUTIVO",19,3,0.158,1929305.709,4.606,-1.036,1929308.543,7.439,1.797,FALSE,TRUE,TRUE,"KUMA","KUMA"
"ARTES CÊNICAS",19,12,0.632,NA,79.96,NA,NA,82.793,NA,FALSE,TRUE,FALSE,"BETA","BETA"
"MANUTENÇÃO INDUSTRIAL",19,2,0.105,9.854,4.951,5.402,12.687,7.784,8.236,TRUE,TRUE,TRUE,"BETA","BETA"
"SEGURANÇA DA INFORMAÇÃO",14,7,0.5,NA,20.141,8.572,NA,22.058,10.489,FALSE,TRUE,TRUE,"KUMA","KUMA"
"CIÊNCIAS NATURAIS",23,4,0.174,1.386,3.478,-9.819,4.792,6.885,-6.413,TRUE,TRUE,TRUE,"KUMA","KUMA"
"QUÍMICA INDUSTRIAL",22,5,0.227,NA,7.513,-3.357,NA,10.786,-0.083,FALSE,TRUE,TRUE,"KUMA","KUMA"
"ADMINISTRAÇÃO PÚBLICA",22,0,0,1573.176,-41.252,-41.326,1576.449,-37.979,-38.052,TRUE,TRUE,TRUE,"KUMA","KUMA"
"DESIGN DE PRODUTO",17,4,0.235,125492609408.041,6.959,-3.73,125492609410.54,9.459,-1.231,TRUE,TRUE,TRUE,"KUMA","KUMA"
"INTERDISCIPLINAR EM CIÊNCIA E TECNOLOGIA",21,3,0.143,NA,-21.737,-21.991,NA,-18.603,-18.858,FALSE,TRUE,TRUE,"KUMA","KUMA"
"FABRICAÇÃO MECÂNICA",18,0,0,0.199,-6.305,-5.959,2.87,-3.634,-3.288,TRUE,TRUE,TRUE,"BETA","BETA"
"ENGENHARIA DE TELECOMUNICAÇÕES",15,2,0.133,1321261.687,-0.764,-0.237,1321263.812,1.36,1.887,FALSE,TRUE,TRUE,"BETA","BETA"
"EDUCAÇÃO DO CAMPO",17,5,0.294,NA,-4.254,-4.084,NA,-1.754,-1.585,FALSE,TRUE,TRUE,"BETA","BETA"
"ENGENHARIA AGRÍCOLA",18,3,0.167,NA,-4.357,-4.826,NA,-1.686,-2.155,FALSE,TRUE,TRUE,"KUMA","KUMA"
"CIÊNCIAS DA COMPUTAÇÃO",17,4,0.235,7.51,11.0,7.80,10.0,13.4,10.3,TRUE,TRUE,TRUE,"ZIUBXII","ZIUBXII"  


